Daily / Cumulative,Indicator,Date,Event,region,City,Cases
Daily,Cases,3/2/2020,First case of COVID-19,Eastern Region,Qatif,1
Daily,Cases,3/4/2020,Umrah suspension,Eastern Region,Qatif,1
Daily,Cases,3/7/2020,,Eastern Region,Qatif,2
Daily,Cases,3/8/2020,,Total,Total,4
Daily,Cases,3/10/2020,,Eastern Region,Dammam,4
Daily,Cases,3/12/2020,,Mecca,Mecca,21
Daily,Cases,3/13/2020,,Mecca,Mecca,26
Daily,Cases,3/16/2020,Gov / private suspension,Riyadh,Riyadh,4
Daily,Cases,3/16/2020,Gov / private suspension,Mecca,Mecca,2
Daily,Cases,3/16/2020,Gov / private suspension,Mecca,Jeddah,5
Daily,Cases,3/17/2020,,Eastern Region,Qatif,10
Daily,Cases,3/18/2020,,Eastern Region,Dammam,23
Daily,Cases,3/19/2020,,Eastern Region,Qatif,4
Daily,Cases,3/19/2020,,Eastern Region,Dammam,3
Daily,Cases,3/20/2020,,Eastern Region,Qatif,?
Daily,Cases,3/20/2020,,Al Bahah,Al Bahah,?
Daily,Cases,3/20/2020,,Asir,Bisha,1
Daily,Cases,3/20/2020,,Mecca,Jeddah,11
Daily,Cases,3/23/2020,Curfew started for 21 days (6am -7 pm),Mecca,Taif,6
Daily,Cases,3/23/2020,Curfew started for 21 days (6am -7 pm),Riyadh,Riyadh,18
Daily,Cases,3/24/2020,,Eastern Region,Dammam,6
Daily,Cases,3/24/2020,,Total,Total,205
Daily,Cases,3/24/2020,,Mecca,Jeddah,82
Daily,Cases,3/26/2020,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)",Eastern Region,Hufof,2
Daily,Cases,3/26/2020,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)",Mecca,Mecca,26
Daily,Cases,3/26/2020,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)",Mecca,Jeddah,13
Daily,Cases,3/27/2020,,Qassim,Buraydah,2
Daily,Cases,3/27/2020,,Eastern Region,Dammam,4
Daily,Cases,3/27/2020,,Eastern Region,Khobar,1
Daily,Cases,3/27/2020,,Eastern Region,Dahran,2
Daily,Cases,3/29/2020,Jeddah lockdown,Mecca,Taif,1
Daily,Cases,3/29/2020,Jeddah lockdown,Medina,Medina,14
Daily,Cases,3/30/2020,Makkah lockdown,Qassim,Ar Rass,1
Daily,Cases,3/30/2020,Makkah lockdown,Riyadh,Al Duwadimi,1
Daily,Cases,3/30/2020,Makkah lockdown,Mecca,Jeddah,9
Daily,Cases,3/30/2020,Makkah lockdown,Medina,Medina,22
Daily,Cases,3/31/2020,,Eastern Region,Khobar,4
Daily,Cases,3/31/2020,,Mecca,Jeddah,29
Daily,Cases,3/31/2020,,Jazan,Jazan,2
Daily,Cases,3/31/2020,,Qassim,Al Badayea,1
Daily,Cases,3/31/2020,,Eastern Region,Ras Tanura,1
Daily,Cases,4/1/2020,,Qassim,Al Hanakia,1
Daily,Cases,4/1/2020,,Mecca,Jeddah,3
Daily,Cases,4/2/2020,"Makkah , Madinah 24 hours curfew",Total,Total,165
Daily,Cases,4/2/2020,"Makkah , Madinah 24 hours curfew",Mecca,Jeddah,30
Daily,Cases,4/3/2020,,Eastern Region,Hufof,4
Daily,Cases,4/3/2020,,Qassim,Buraydah,9
Daily,Cases,4/3/2020,,Mecca,Mecca,21
Daily,Cases,4/3/2020,,Najran,Najran,3
Daily,Cases,4/3/2020,,Medina,Medina,34
Daily,Cases,4/4/2020,Jeddah areas lockdown - 24 h curfew,Mecca,Taif,4
Daily,Cases,4/4/2020,Jeddah areas lockdown - 24 h curfew,Asir,Abha,?
Daily,Cases,4/4/2020,Jeddah areas lockdown - 24 h curfew,Eastern Region,Khobar,4
Daily,Cases,4/5/2020,,Asir,Abha,2
Daily,Cases,4/6/2020,"Riyadh, Dammam , Tabuk , Dahran, Hafuf, Jeddah, Taif, Qatif , Khobar24h curfew",Najran,Sharorah,4
Daily,Cases,4/6/2020,"Riyadh, Dammam , Tabuk , Dahran, Hafuf, Jeddah, Taif, Qatif , Khobar24h curfew",Riyadh,Riyadh,65
Daily,Cases,4/7/2020,,Riyadh,Riyadh,97
Daily,Cases,4/7/2020,,Mecca,Mecca,51
Daily,Cases,4/7/2020,,Tabuk,Tabuk,3
Daily,Cases,4/8/2020,,Tabuk,Tabuk,26
Daily,Cases,4/8/2020,,Riyadh,Diriyah,4
Daily,Cases,4/8/2020,,Qassim,Riyadh Al Khabra,1
Daily,Cases,4/8/2020,,Asir,Khamis Mushait,1
Daily,Cases,4/8/2020,,Mecca,Jeddah,45
Daily,Cases,4/9/2020,,Qassim,Buraydah,9
Daily,Cases,4/9/2020,,Riyadh,Riyadh,69
Daily,Cases,4/9/2020,,Mecca,Jeddah,54
Daily,Cases,4/9/2020,,Mecca,Khulais,1
Daily,Cases,4/10/2020,,Medina,Yanbu,5
Daily,Cases,4/10/2020,,Hail,Al Shamly,1
Daily,Cases,4/10/2020,,Eastern Region,Khobar,1
Daily,Cases,4/11/2020,,Riyadh,Riyadh,198
Daily,Cases,4/11/2020,,Eastern Region,Qatif,3
Daily,Cases,4/11/2020,,Mecca,Jeddah,19
Daily,Cases,4/11/2020,,Jazan,Sabya,2
Daily,Cases,4/12/2020,,Total,Total,472
Daily,Cases,4/12/2020,,Asir,Ahad Rafidah,1
Daily,Cases,4/12/2020,,Eastern Region,Dahran,1
Daily,Cases,4/13/2020,,Hail,Ha'il,1
Daily,Cases,4/14/2020,,Medina,Yanbu,4
Daily,Cases,4/14/2020,,Eastern Region,Hufof,86
Daily,Cases,4/14/2020,,Mecca,Taif,9
Daily,Cases,4/14/2020,,Riyadh,Riyadh,56
Daily,Cases,4/14/2020,,Eastern Region,Jubail,6
Daily,Cases,4/14/2020,,Mecca,Alqarei,1
Daily,Cases,4/14/2020,,Eastern Region,Ras Tanura,2
Daily,Cases,4/15/2020,,Mecca,Adham,1
Daily,Cases,4/15/2020,,Mecca,Mecca,58
Daily,Cases,4/15/2020,,Asir,Abha,2
Daily,Cases,4/15/2020,,Asir,Khamis Mushait,?
Daily,Cases,4/15/2020,,Jazan,Al Tuwal,2
Daily,Cases,4/16/2020,,Medina,Yanbu,1
Daily,Cases,4/16/2020,,Eastern Region,Jubail,4
Daily,Cases,4/16/2020,,Total,Total,762
Daily,Cases,4/16/2020,,Mecca,Jeddah,142
Daily,Cases,4/17/2020,,Asir,Abha,2
Daily,Cases,4/17/2020,,Total,Total,1132
Daily,Cases,4/17/2020,,Eastern Region,Khobar,4
Daily,Cases,4/17/2020,,Mecca,Jeddah,236
Daily,Cases,4/17/2020,,Mecca,Al Muzaylif,1
Daily,Cases,4/18/2020,,Hail,Ha'il,4
Daily,Cases,4/18/2020,,Riyadh,Riyadh,85
Daily,Cases,4/18/2020,,Total,Total,1088
Daily,Cases,4/18/2020,,Mecca,Jeddah,210
Daily,Cases,4/18/2020,,Eastern Region,Ras Tanura,3
Daily,Cases,4/18/2020,,Medina,Medina,177
Daily,Cases,4/19/2020,,Medina,Yanbu,?
Daily,Cases,4/19/2020,,Asir,Abha,3
Daily,Cases,4/19/2020,,Eastern Region,Khobar,5
Daily,Cases,4/20/2020,,Qassim,Unayzah,2
Daily,Cases,4/20/2020,,Riyadh,Riyadh,148
Daily,Cases,4/20/2020,,Mecca,Mecca,305
Daily,Cases,4/20/2020,,Eastern Region,Jubail,12
Daily,Cases,4/20/2020,,Asir,Muhayil Aseer,1
Daily,Cases,4/20/2020,,Mecca,Alqarei,?
Daily,Cases,4/21/2020,,Hail,Ha'il,2
Daily,Cases,4/21/2020,,Mecca,Taif,14
Daily,Cases,4/21/2020,,Total,Total,1141
Daily,Cases,4/22/2020,,Mecca,Umm Aldoom,1
Daily,Cases,4/22/2020,,Mecca,Al Khurma,1
Daily,Cases,4/23/2020,,Hail,Ha'il,7
Daily,Cases,4/23/2020,,Al Jouf,Tabarjal,1
Daily,Cases,4/23/2020,,Mecca,Mecca,242
Daily,Cases,4/23/2020,,Riyadh,Howtat Sudair,1
Daily,Cases,4/23/2020,,Asir,Bisha,16
Daily,Cases,4/23/2020,,Eastern Region,Khobar,30
Daily,Cases,4/23/2020,,Mecca,Jeddah,210
Daily,Cases,4/23/2020,,Riyadh,Howtat Bani Tamim,1
Daily,Cases,4/23/2020,,Asir,Thurayban,5
Daily,Cases,4/23/2020,,Mecca,Alhada,10
Daily,Cases,4/23/2020,,Tabuk,Duba,3
